m,start_time,end_time,lat_min,lat_max,lon_min,lon_max
256,2012-07-02 14:40:00+00,2012-07-04 09:20:00+00,35.66998464,35.689971,139.6693275,139.7678196
512,2012-07-01 17:20:00+00,2012-07-05 06:40:00+00,35.63440986,35.70847465,139.702837,139.7442647
1024,2012-06-29 22:40:00+00,2012-07-07 01:20:00+00,35.6338943,35.708582,139.7021389,139.7442647
2048,2012-06-26 09:20:00+00,2012-07-10 14:40:00+00,35.63440986,35.70985648,139.7020304,139.7415046
4096,2012-06-19 06:40:00+00,2012-07-17 17:20:00+00,35.63440986,35.71024109,139.7020626,139.7421782
